,Accuracy,Classifier
0,0.3783783783783784,Perceptron
1,0.6216216216216216,SVC Linear
2,0.6756756756756757,SVC
3,0.6216216216216216,SGD
4,0.7027027027027027,K-NN
5,0.6216216216216216,Naive-Bayes
6,0.7837837837837838,Árvore de Decisão
7,0.7837837837837838,Random Forest
8,0.6216216216216216,MLP
9,0.5405405405405406,Perceptron
10,0.4594594594594595,SVC Linear
11,0.7027027027027027,SVC
12,0.4594594594594595,SGD
13,0.6756756756756757,K-NN
14,0.4864864864864865,Naive-Bayes
15,0.6486486486486487,Árvore de Decisão
16,0.6486486486486487,Random Forest
17,0.4594594594594595,MLP
18,0.21621621621621623,Perceptron
19,0.7837837837837838,SVC Linear
20,0.8108108108108109,SVC
21,0.5675675675675675,SGD
22,0.7567567567567568,K-NN
23,0.7567567567567568,Naive-Bayes
24,0.7297297297297297,Árvore de Decisão
25,0.7837837837837838,Random Forest
26,0.7837837837837838,MLP
27,0.24324324324324326,Perceptron
28,0.7567567567567568,SVC Linear
29,0.7297297297297297,SVC
30,0.7567567567567568,SGD
31,0.6756756756756757,K-NN
32,0.6756756756756757,Naive-Bayes
33,0.8378378378378378,Árvore de Decisão
34,0.7297297297297297,Random Forest
35,0.7567567567567568,MLP
36,0.7027027027027027,Perceptron
37,0.7027027027027027,SVC Linear
38,0.7567567567567568,SVC
39,0.7297297297297297,SGD
40,0.7567567567567568,K-NN
41,0.6216216216216216,Naive-Bayes
42,0.8378378378378378,Árvore de Decisão
43,0.7567567567567568,Random Forest
44,0.7297297297297297,MLP
45,0.2972972972972973,Perceptron
46,0.8648648648648649,SVC Linear
47,0.8378378378378378,SVC
48,0.6756756756756757,SGD
49,0.7837837837837838,K-NN
50,0.8648648648648649,Naive-Bayes
51,0.918918918918919,Árvore de Decisão
52,0.918918918918919,Random Forest
53,0.8378378378378378,MLP
54,0.5135135135135135,Perceptron
55,0.7027027027027027,SVC Linear
56,0.8108108108108109,SVC
57,0.6486486486486487,SGD
58,0.8108108108108109,K-NN
59,0.6756756756756757,Naive-Bayes
60,0.8918918918918919,Árvore de Decisão
61,0.8918918918918919,Random Forest
62,0.7567567567567568,MLP
63,0.7297297297297297,Perceptron
64,0.8108108108108109,SVC Linear
65,0.7567567567567568,SVC
66,0.7837837837837838,SGD
67,0.7297297297297297,K-NN
68,0.8108108108108109,Naive-Bayes
69,0.7567567567567568,Árvore de Decisão
70,0.7567567567567568,Random Forest
71,0.8378378378378378,MLP
72,0.24324324324324326,Perceptron
73,0.7567567567567568,SVC Linear
74,0.8648648648648649,SVC
75,0.7567567567567568,SGD
76,0.8108108108108109,K-NN
77,0.7297297297297297,Naive-Bayes
78,0.8378378378378378,Árvore de Decisão
79,0.8918918918918919,Random Forest
80,0.7567567567567568,MLP
81,0.5675675675675675,Perceptron
82,0.8108108108108109,SVC Linear
83,0.8918918918918919,SVC
84,0.8108108108108109,SGD
85,0.8378378378378378,K-NN
86,0.8108108108108109,Naive-Bayes
87,0.7297297297297297,Árvore de Decisão
88,0.8378378378378378,Random Forest
89,0.8108108108108109,MLP
